Regiao - Sigla;Estado - Sigla;Municipio;Revenda;CNPJ da Revenda;Nome da Rua;Numero Rua;Bairro;Cep;Produto;Data da Coleta;Valor de Venda;Unidade de Medida;Bandeira
NE;BA;ITABUNA;DERIVADOS DE PETROLEO MELHOR MONTEIRO EIRELI; 13.026.737/0001-25;AVENIDA AZIZ MARON;SN;GOES CALMON;45605-412;ETANOL;01/03/2022;5,45;R$ / litro;BRANCA
NE;BA;ITABUNA;DERIVADOS DE PETROLEO MELHOR MONTEIRO EIRELI; 13.026.737/0001-25;AVENIDA AZIZ MARON;SN;GOES CALMON;45605-412;GASOLINA ADITIVADA;01/03/2022;7,04;R$ / litro;BRANCA
NE;BA;SALVADOR;POSTO CAJAZEIRAS LTDA.; 05.112.514/0001-52;RUA COLETORA II;S/N;CAJAZEIRAS V;41330-010;GASOLINA;01/03/2022;6,93;R$ / litro;BRANCA
NE;BA;SALVADOR;POSTO CAJAZEIRAS LTDA.; 05.112.514/0001-52;RUA COLETORA II;S/N;CAJAZEIRAS V;41330-010;ETANOL;01/03/2022;5,33;R$ / litro;BRANCA
NE;BA;SALVADOR;POSTO CAJAZEIRAS LTDA.; 05.112.514/0001-52;RUA COLETORA II;S/N;CAJAZEIRAS V;41330-010;GASOLINA ADITIVADA;01/03/2022;6,93;R$ / litro;BRANCA
NE;BA;SALVADOR;ABO POSTOS DE ABASTECIMENTO E SERVICOS LTDA; 63.274.351/0001-00;ESTRADA DO COQUEIRO GRANDE;2003;CAJAZEIRAS;41342-315;GASOLINA;01/03/2022;6,97;R$ / litro;VIBRA ENERGIA
NE;BA;SALVADOR;ABO POSTOS DE ABASTECIMENTO E SERVICOS LTDA; 63.274.351/0001-00;ESTRADA DO COQUEIRO GRANDE;2003;CAJAZEIRAS;41342-315;ETANOL;01/03/2022;5,38;R$ / litro;VIBRA ENERGIA
NE;BA;SALVADOR;ABO POSTOS DE ABASTECIMENTO E SERVICOS LTDA; 63.274.351/0001-00;ESTRADA DO COQUEIRO GRANDE;2003;CAJAZEIRAS;41342-315;GASOLINA ADITIVADA;01/03/2022;6,99;R$ / litro;VIBRA ENERGIA
NE;BA;SALVADOR;SOCOMBUSTIVEIS COMERCIO DE DERIVADOS DE PETROLEO LTDA; 04.604.158/0003-93;RUA DOUTOR JORGE ANDRADE;264;AGUAS CLARAS;41310-260;GASOLINA;01/03/2022;6,93;R$ / litro;BRANCA
NE;BA;SALVADOR;SOCOMBUSTIVEIS COMERCIO DE DERIVADOS DE PETROLEO LTDA; 04.604.158/0003-93;RUA DOUTOR JORGE ANDRADE;264;AGUAS CLARAS;41310-260;ETANOL;01/03/2022;5,33;R$ / litro;BRANCA
NE;BA;SALVADOR;SOCOMBUSTIVEIS COMERCIO DE DERIVADOS DE PETROLEO LTDA; 04.604.158/0003-93;RUA DOUTOR JORGE ANDRADE;264;AGUAS CLARAS;41310-260;GASOLINA ADITIVADA;01/03/2022;6,93;R$ / litro;BRANCA
NE;BA;CAMACARI;MEDITERRANEO COMERCIO DE DERIVADOS DE PETROLEO E TRANSPORTES LTDA; 03.381.739/0001-89;VIA PARAFUSO ANTIGA BA 535 ,KM 14;SN;POVOADO DE PARAFUSO;42849-000;GASOLINA;01/03/2022;6,93;R$ / litro;BRANCA
NE;BA;CAMACARI;MEDITERRANEO COMERCIO DE DERIVADOS DE PETROLEO E TRANSPORTES LTDA; 03.381.739/0001-89;VIA PARAFUSO ANTIGA BA 535 ,KM 14;SN;POVOADO DE PARAFUSO;42849-000;ETANOL;01/03/2022;5,33;R$ / litro;BRANCA
NE;BA;CAMACARI;MEDITERRANEO COMERCIO DE DERIVADOS DE PETROLEO E TRANSPORTES LTDA; 03.381.739/0001-89;VIA PARAFUSO ANTIGA BA 535 ,KM 14;SN;POVOADO DE PARAFUSO;42849-000;GASOLINA ADITIVADA;01/03/2022;6,93;R$ / litro;BRANCA
CO;GO;APARECIDA DE GOIANIA;POSTO PARK FLAMBOYANT LTDA; 07.230.005/0001-50;AVENIDA B;S/N;PARQUE FLAMBOYANT;74920-792;GASOLINA;01/03/2022;6,49;R$ / litro;BRANCA
CO;GO;APARECIDA DE GOIANIA;POSTO PARK FLAMBOYANT LTDA; 07.230.005/0001-50;AVENIDA B;S/N;PARQUE FLAMBOYANT;74920-792;ETANOL;01/03/2022;4,49;R$ / litro;BRANCA
CO;GO;APARECIDA DE GOIANIA;POSTO TITAN LTDA; 02.772.179/0001-20;AVENIDA W 3;SN;SITIOS SANTA LUZIA;74922-480;GASOLINA;01/03/2022;6,59;R$ / litro;BRANCA
CO;GO;APARECIDA DE GOIANIA;POSTO TITAN LTDA; 02.772.179/0001-20;AVENIDA W 3;SN;SITIOS SANTA LUZIA;74922-480;ETANOL;01/03/2022;4,49;R$ / litro;BRANCA
CO;GO;APARECIDA DE GOIANIA;POSTO TITAN LTDA; 02.772.179/0001-20;AVENIDA W 3;SN;SITIOS SANTA LUZIA;74922-480;GASOLINA ADITIVADA;01/03/2022;6,64;R$ / litro;BRANCA
N;TO;ARAGUAINA;BR COM. DE COMBUSTIVEIS LTDA; 08.579.372/0001-26;AVENIDA BERNARDO SAYAO;187;JK;77818-340;GASOLINA;01/03/2022;7,05;R$ / litro;VIBRA ENERGIA
N;TO;ARAGUAINA;BR COM. DE COMBUSTIVEIS LTDA; 08.579.372/0001-26;AVENIDA BERNARDO SAYAO;187;JK;77818-340;ETANOL;01/03/2022;5,99;R$ / litro;VIBRA ENERGIA
N;TO;ARAGUAINA;AUTO POSTO IPANEMA LTDA; 33.567.231/0002-11;AVENIDA CASTELO BRANCO;316;SAO JOAO;77805-110;GASOLINA;01/03/2022;6,859;R$ / litro;IPIRANGA
N;TO;ARAGUAINA;AUTO POSTO IPANEMA LTDA; 33.567.231/0002-11;AVENIDA CASTELO BRANCO;316;SAO JOAO;77805-110;ETANOL;01/03/2022;5,699;R$ / litro;IPIRANGA
N;TO;ARAGUAINA;AUTO POSTO IPANEMA LTDA; 33.567.231/0002-11;AVENIDA CASTELO BRANCO;316;SAO JOAO;77805-110;GASOLINA ADITIVADA;01/03/2022;6,899;R$ / litro;IPIRANGA
N;TO;ARAGUAINA;ARANTES - DERIVADOS DE PETROLEO LTDA; 05.078.858/0001-92;AVENIDA FILADELFIA;3071;LOTEAMENTO DONA NELCIA;77813-410;GASOLINA;01/03/2022;7,07;R$ / litro;VIBRA ENERGIA
N;TO;ARAGUAINA;ARANTES - DERIVADOS DE PETROLEO LTDA; 05.078.858/0001-92;AVENIDA FILADELFIA;3071;LOTEAMENTO DONA NELCIA;77813-410;ETANOL;01/03/2022;5,85;R$ / litro;VIBRA ENERGIA
N;TO;ARAGUAINA;ARANTES - DERIVADOS DE PETROLEO LTDA; 05.078.858/0001-92;AVENIDA FILADELFIA;3071;LOTEAMENTO DONA NELCIA;77813-410;GASOLINA ADITIVADA;01/03/2022;7,12;R$ / litro;VIBRA ENERGIA
CO;GO;GOIANIA;POSTO CAPIM DOURADO LTDA; 07.374.346/0001-07;RODOVIA BR 153  KM 4;S/Nº;JARDIM GOIÁS;74805-010;GASOLINA;01/03/2022;6,569;R$ / litro;RAIZEN
CO;GO;GOIANIA;POSTO CAPIM DOURADO LTDA; 07.374.346/0001-07;RODOVIA BR 153  KM 4;S/Nº;JARDIM GOIÁS;74805-010;ETANOL;01/03/2022;4,439;R$ / litro;RAIZEN
CO;GO;GOIANIA;POSTO CAPIM DOURADO LTDA; 07.374.346/0001-07;RODOVIA BR 153  KM 4;S/Nº;JARDIM GOIÁS;74805-010;GASOLINA ADITIVADA;01/03/2022;6,769;R$ / litro;RAIZEN
CO;GO;GOIANIA;POSTO SABADIN II LTDA; 05.083.451/0001-53;AVENIDA BRASIL;688;JARDIM DA LUZ;74850-545;GASOLINA;01/03/2022;6,699;R$ / litro;VIBRA ENERGIA
CO;GO;GOIANIA;POSTO SABADIN II LTDA; 05.083.451/0001-53;AVENIDA BRASIL;688;JARDIM DA LUZ;74850-545;ETANOL;01/03/2022;4,449;R$ / litro;VIBRA ENERGIA
CO;GO;GOIANIA;POSTO SABADIN II LTDA; 05.083.451/0001-53;AVENIDA BRASIL;688;JARDIM DA LUZ;74850-545;GASOLINA ADITIVADA;01/03/2022;6,999;R$ / litro;VIBRA ENERGIA
